"R0","amplitude","gamma","mu","sigma","rho","psi","S_0","E_0","R_0","I_0","LogLik"
139.187350939654,0.34389016512315,73.05,0.606778012936633,45.66,0.667860716764418,0.852256881406487,0.09921875,7.89e-05,0.65390625,4.45e-05,-4309.315305
137.409581699548,0.339967878002708,73.05,0.583101743896444,45.66,0.661635088161743,0.852267429517951,0.09921875,7.89e-05,0.65390625,4.45e-05,-4309.343765
138.276665951238,0.342183470425993,73.05,0.594822088948763,45.66,0.663247835002994,0.856525644579008,0.09921875,7.89e-05,0.65390625,4.45e-05,-4309.356855
137.807442267935,0.339991319839353,73.05,0.588932761335408,45.66,0.658628717079908,0.861546690686643,0.09921875,7.89e-05,0.65390625,4.45e-05,-4309.359914
137.117069792093,0.339976762740133,73.05,0.57732845930341,45.66,0.659249709942476,0.856303707223003,0.09921875,7.89e-05,0.65390625,4.45e-05,-4309.364624
138.87271336574,0.342588482641747,73.05,0.604081787398604,45.66,0.659268934376599,0.866262705559289,0.00078125,3.05e-05,0.33046875,5.55e-05,-4309.383926
136.618729493376,0.339099741574875,73.05,0.571238213663065,45.66,0.65172739619233,0.864172330477489,0.09453125,4.92e-05,0.83671875,6.17e-05,-4309.402815
136.446427369779,0.338303823897055,73.05,0.565582389765411,45.66,0.658121702890425,0.849799906299219,0.09453125,4.92e-05,0.83671875,6.17e-05,-4309.446306
140.119916109751,0.346041241186037,73.05,0.618569130176056,45.66,0.663159366687139,0.859833656919544,0.09453125,4.92e-05,0.83671875,6.17e-05,-4309.451361
138.725589169651,0.342744656674922,73.05,0.600377103561052,45.66,0.655524654585812,0.869994985954684,0.09453125,4.92e-05,0.83671875,6.17e-05,-4309.451905
140.771596754158,0.347044176072619,73.05,0.628609930334955,45.66,0.669590394426064,0.861653559058791,0.00078125,3.05e-05,0.33046875,5.55e-05,-4309.45649
140.369927586673,0.345940417042874,73.05,0.624754821477817,45.66,0.663956868859749,0.870842277204869,0.09453125,4.92e-05,0.83671875,6.17e-05,-4309.47763
135.403394041908,0.334889717589813,73.05,0.554801301701125,45.66,0.653392186958575,0.848068099792823,0.09921875,7.89e-05,0.65390625,4.45e-05,-4309.478301
135.871326789019,0.33683297211913,73.05,0.559982564124169,45.66,0.660903413740448,0.841639066898617,0.09453125,4.92e-05,0.83671875,6.17e-05,-4309.48296
139.248392460842,0.341745143970071,73.05,0.61244468334263,45.66,0.655514867460208,0.87302383929165,0.09453125,4.92e-05,0.83671875,6.17e-05,-4309.515022
138.898403504652,0.341254205324104,73.05,0.606380874596663,45.66,0.653491435431227,0.871831078946132,0.09453125,4.92e-05,0.83671875,6.17e-05,-4309.516717
134.897020368553,0.336817152106769,73.05,0.543513559750179,45.66,0.654569378098836,0.847035468096702,0.09453125,4.92e-05,0.83671875,6.17e-05,-4309.519781
137.404873873651,0.338689663328975,73.05,0.582720101757693,45.66,0.644774638438111,0.876539271573408,0.09453125,4.92e-05,0.83671875,6.17e-05,-4309.547588
142.507658006532,0.349484534824746,73.05,0.657053640136115,45.66,0.685465481910697,0.84987626469697,0.09921875,7.89e-05,0.65390625,4.45e-05,-4309.570127
138.350166930602,0.342514083070778,73.05,0.594432775803022,45.66,0.648846473106521,0.868249558447287,0.09453125,4.92e-05,0.83671875,6.17e-05,-4309.594934
135.078470939213,0.335752176718719,73.05,0.548948695347681,45.66,0.658348747349763,0.836282685118622,0.09453125,4.92e-05,0.83671875,6.17e-05,-4309.597534
